anio,semana,label,prediction,year_week
2023,35,819,834.5055063125167,2023-35
2023,36,853,857.3478950668002,2023-36
2023,37,719,848.4791495125526,2023-37
2023,38,829,713.8237370928912,2023-38
2023,39,738,824.2068485821788,2023-39
2023,40,793,755.3991175041491,2023-40
2023,41,778,779.9745339488385,2023-41
2023,42,823,778.6474085904757,2023-42
2023,43,774,811.7155300723484,2023-43
2023,44,749,778.6474085904757,2023-44
2023,45,834,742.271085627904,2023-45
2023,46,893,802.9334272261887,2023-46
2023,47,898,852.8528693740434,2023-47
2023,48,998,891.9357697293585,2023-48
2023,49,982,993.9622815235729,2023-49
2023,50,899,940.6194892028109,2023-50
2023,51,823,920.2763582292312,2023-51
2023,52,664,879.8010767344443,2023-52
2024,1,849,713.8237370928912,2024-01
2024,2,730,856.839468120164,2024-02
2024,3,703,755.3991175041491,2024-03
2024,4,671,714.1348621143744,2024-04
2024,5,764,700.8528195847493,2024-05
2024,6,810,798.8283041733223,2024-06
2024,7,740,799.449365951354,2024-07
2024,8,876,747.4626259817801,2024-08
2024,9,813,836.9376257385203,2024-09
2024,10,871,857.3478950668002,2024-10
2024,11,906,848.4791495125526,2024-11
2024,12,1169,955.6562992967802,2024-12
2024,13,1248,1051.3375481055923,2024-13
2024,14,1242,1228.6812329786271,2024-14
2024,15,1427,1232.0810125630285,2024-15
2024,16,1543,1334.5328698229139,2024-16
2024,17,1791,1477.1803826614182,2024-17
2024,18,1785,1603.3611636137991,2024-18
2024,19,1728,1963.4747999774354,2024-19
2024,20,1809,1963.4747999774354,2024-20
2024,21,1815,1963.4747999774354,2024-21
2024,22,1776,1963.4747999774354,2024-22
2024,23,1759,1963.4747999774354,2024-23
2024,24,1742,1963.4747999774354,2024-24
2024,25,1613,1963.4747999774354,2024-25
2024,26,1653,1963.4747999774354,2024-26
2024,27,1644,1963.4747999774354,2024-27
2024,28,1610,1963.4747999774354,2024-28
2024,29,1397,1963.4747999774354,2024-29
2024,30,1383,1297.9626462400267,2024-30
2024,31,1369,1303.748836767011,2024-31
2024,32,1183,1299.6255745811577,2024-32
2024,33,1105,1178.6526179190319,2024-33
2024,34,1179,1192.744298419319,2024-34
2024,35,1115,1216.5850621229717,2024-35
2024,36,1228,1158.5219020999039,2024-36
2024,37,1145,1177.2739016509418,2024-37
2024,38,1131,1129.4616865313983,2024-38
2024,39,1213,1159.0798460689139,2024-39
2024,40,1113,1216.5850621229717,2024-40
2024,41,1111,1158.5219020999039,2024-41
2024,42,1095,1129.7741261070303,2024-42
2024,43,1066,1129.7741261070303,2024-43
2024,44,931,1042.3864154220744,2024-44
2024,45,1051,922.0211894030778,2024-45
2024,46,1063,1049.7200377662605,2024-46
2024,47,1011,1056.43778481477,2024-47
2024,48,954,976.1045298499882,2024-48
2024,49,935,940.6194892028109,2024-49
2024,50,1053,943.2986054835258,2024-50
2024,51,964,1054.806608502261,2024-51
2024,52,1124,940.6194892028109,2024-52
